Company Name,Shares Equivalent Held(actual),Company Name (DT),Current Position
alstria office REIT-AG,5519823,Medipal Holdings Corporation,4135963
"James River Group Holdings, Ltd.",1818007,"Papa John's International, Inc.",1979086
"U.S. Silica Holdings, Inc.",8225903,Seaboard Corporation,21390
"Wynn Macau, Limited",41882577,Axel Springer SE,1271299
"Compal Electronics, Inc.",151534656,voestalpine AG,3291420
Kunlun Energy Company Limited,103163190,Greek Organisation of Football Prognostics SA,7779483
Turkcell Iletisim Hizmetleri A.S.,38496296,Azul SA Pfd Registered Shs,6406872
Casio Computer Co. Ltd.,6087641,Tourmaline Oil Corp.,6707544
Viva Energy REIT,46769340,Digital Telecommunications Infrastructure Fund(Alien Mkt),160609775
Fraport AG,1065259,"H&E Equipment Services, Inc.",3022070
K+S Aktiengesellschaft,5344266,Canadian Utilities Limited Class A,3219246
CorVel Corporation,1092188,Inmarsat plc,12530756
PT United Tractors Tbk,54449401,ASM International N.V.,1066266
ACCO Brands Corporation,8946048,Storebrand ASA,12852968
SK Telecom Company Limited,444621,"ScanSource, Inc.",2692794
Aggreko Plc,8728077,Shree Cement Limited,298898
"Virtus Investment Partners, Inc.",728642,Inter RAO UES PJSC,1240872673
Alten SA,784094,"ZOZO, Inc.",4595658
Hera S.p.A.,22765396,Lupin Limited,7854112
Capital & Counties Properties,32377343,"Sohgo Security Services Co., Ltd.",1788732
Assura Plc,103467597,Aedifica SA,826208
AusNet Services Ltd,72577460,"Upwork, Inc.",5425570
Sumco Corporation,6468352,"Sangamo Therapeutics, Inc.",8097210
Alpha Bank AE,49247932,"Epizyme, Inc.",6947353
Bayerische Motoren Werke Aktiengesellschaft,1567148,KunLun Energy Co. Ltd.,99287190
Taiheiyo Cement Corporation,3336021,"EVO Payments, Inc. Class A",2762920
China National Offshore Oil Corporation Limited,590958,Evraz PLC,14395000
"Zuora, Inc.",5661513,Tricida Inc,2203446
PrairieSky Royalty Ltd.,6340624,"Kinsale Capital Group, Inc.",950025
"The Andersons, Inc.",3350320,Sul America SA Ctf de Deposito de Acoes Cons of 1 Sh + 2 Pfd Shs,7768745
Aker BP ASA,3208020,alstria office REIT-AG,5336835
Sul América S.A.,7835445,NexPoint Residential Trust Inc,2095440
"Amkor Technology, Inc.",9568117,Marico Limited,16254186
AVEVA Group plc,1995202,Vanguard FTSE Pacific ETF,1309686
Public Joint Stock Company Inter RAO UES,1244573000,Front Yard Residential Corp. Class B,7081557
Central Pacific Financial Corp.,3032399,"Zhuzhou CRRC Times Electric Co., Ltd. Class H",17983948
Banco BPM SpA,41939024,Banco Santander Mexico SA Institucion de Banca Multiple Grupo Financiero Santander Mexico Class B,59955184
"Kawasaki Heavy Industries, Ltd.",4033728,"Guess?, Inc.",5353988
"AnaptysBio, Inc.",1985144,Raiffeisen Bank International AG,3658890
Voestalpine AG,3444133,IWG Plc,18631216
Sofina Société Anonyme,439211,"Feng Tay Enterprise Co., Ltd.",12887848
Commercial Bank (P.S.Q.C.),70208139,Chemical Works of Gedeon Richter Plc,4875326
Walsin Technology Corporation,17024171,Aker BP ASA,3005466
Charter Hall Long WALE REIT,22548612,Aspen Pharmacare Holdings Limited,13527301
"NextGen Healthcare, Inc.",5564736,Evoqua Water Technologies Corp,6045394
The Star Entertainment Group Limited,29652506,Hitachi High-Technologies Corp.,1683622
"Fukuoka Financial Group, Inc.",4545467,"Community Healthcare Trust, Inc.",2183366
Vanguard International Equity Index Funds - Vanguard FTSE Pacific ETF,1325679,"TTEC Holdings, Inc.",1846769
SBI Life Insurance Company Ltd.,7848352,"Samsung BioLogics Co., Ltd.",363270
Moneysupermarket.com Group PLC,19090086,"Cheng Shin Rubber Ind Co., Ltd.",66194192
L E Lundbergföretagen AB (publ),2231862,E. W. Scripps Company Class A,5623790
UDG Healthcare plc,9478230,IMMOFINANZ AG,3193921
ICICI Lombard General Insurance Company Ltd.,5441719,Fraport AG,1018943
Hays plc,47723808,Bechtle AG,763928
Garrett Motion Inc.,7608964,Element Fleet Management Corporation,11373398
"Taisho Pharmaceutical Holdings Co., Ltd.",1214043,Demant A/S,2884606
Cooper-Standard Holdings Inc.,1801466,"CrowdStrike Holdings, Inc. Class A",1254253
Italgas S.p.A.,13922776,"Zuora, Inc. Class A",5573657
"ARMOUR Residential REIT, Inc.",5028137,Atlassian Corp. Plc Class A,652349
Etn. Fr. Colruyt NV,1617953,SEB SA,527170
KGHM Polska Miedź Spółka Akcyjna,4183747,"Huaneng Power International, Inc. Class H",145279218
"Casella Waste Systems, Inc.",2177365,Italgas SpA,13347234
SEACOR Holdings Inc.,1770030,Afterpay Touch Group Ltd.,4603727
IMMOFINANZ AG,3207673,Teijin Limited,4870193
Denbury Resources Inc.,65291582,"Hertz Global Holdings, Inc.",5314157
Viad Corp,1310941,K+S AG,5165901
JSR Corporation,5154806,Mapletree Logistics Trust,75177230
"CrowdStrike Holdings, Inc.",1254879,Liberty Media Corporation Series A Liberty Formula One,2356253
"Nomura Real Estate Holdings, Inc.",3990338,Nemetschek SE,1488058
Coca-Cola Bottlers Japan Holdings Inc.,3856830,Petrobras Distribuidora SA,11937324
China Railway Group Limited,128385562,CONSOL Energy Inc,3168834
Greggs plc,3484325,Scholastic Corporation,2536276
B2Gold Corporation,26481250,Multiplan Empreendimentos Imobiliarios SA,11168757
Pargesa Holding SA,1131783,"PennyMac Financial Services, Inc.",3795679
Choice Properties Real Estate Investment Trust,8118168,Severstal PAO,5188653
National HealthCare Corporation,1028352,PrairieSky Royalty Ltd,6225138
"Gibraltar Industries, Inc.",1979402,"Kelly Services, Inc. Class A",3206939
Taiwan High Speed Rail Corporation,72644659,Kawasaki Heavy Industries Ltd.,3830375
"TTEC Holdings, Inc.",1877313,Kforce Inc.,2390596
Venture Corporation Limited,7481810,Metropolitan Bank & Trust Co.,56290889
Nippon Building Fund Incorporation,11957,Viad Corp,1264106
"Hitachi Chemical Company, Ltd.",2730852,"JAPAN POST INSURANCE Co., Ltd.",4999347
"BJ's Restaurants, Inc.",2186698,Greene King plc,8169118
Hecla Mining Company,42956290,"Zijin Mining Group Co., Ltd. Class H",207226706
"ScanSource, Inc.",2719881,ANGI Homeservices Inc Class A,6426399
Andritz AG,2075385,Shriram Transport Finance Co. Ltd.,5936007
Tomra Systems ASA,2958348,China Life Insurance Co. Ltd. (Taiwan),100917604
"H&E Equipment Services, Inc.",3087969,China Railway Construction Corporation Limited Class H,71687963
Embraer S.A.,18667069,Piramal Enterprises Ltd.,3171482
"Hisamitsu Pharmaceutical Co., Inc.",1952002,Hera S.p.A.,22207100
Yamana Gold Inc.,25441782,Nabtesco Corporation,3055655
Acushnet Holdings Corp.,3058889,Azbil Corporation,3457459
"Ambac Financial Group, Inc.",4353652,SEACOR Holdings Inc.,1752622
Shandong Weigao Group Medical Polymer Company Limited,78899427,"Chiba Bank, Ltd.",16730857
MISC Berhad,45562644,Grand City Properties SA,3655428
Loomis AB (publ),2448945,Tecan Group AG,325371
Tokyo Tatemono Co. Ltd.,6511349,James River Group Holdings Ltd,1772846
Monotype Imaging Holdings Inc.,4307916,Sofina SA,426183
Genesco Inc.,1971078,New Senior Investment Group Inc,12365295
Signify N.V.,2890135,"LGI Homes, Inc.",1163091
Big Yellow Group Plc,6603078,Hindustan Petroleum Corporation Limited,21478159
China Railway Construction Corporation Limited,71732963,Alinma Bank,12367033
Takeaway.com N.V.,996915,Allreal Holding AG,471799
Wisetech Global Limited,3505052,Genesco Inc.,1953325
Tronox Holdings plc,8992693,National HealthCare Corporation,1017794
SBM Offshore N.V.,4862967,Energisa SA Units Cons of 1 Sh + 4 Pfd Shs,6288438
Vanguard Global ex-U.S. Aggregate Bond Index ETF (CAD-hedged),3968358,"Casella Waste Systems, Inc. Class A",2082498
"THK Co., Ltd.",3140623,IHI Corporation,3435864
AK Steel Holding Corporation,29835629,SunPower Corporation,7713758
HASEKO Corporation,7329564,"Pinduoduo, Inc. Sponsored ADR Class A",3994289
"BMC Stock Holdings, Inc.",3277653,"Heartland Express, Inc.",4560022
"J. Front Retailing Co., Ltd.",6999475,Indorama Ventures Public Co. Ltd.(Alien Mkt),62092771
Industrial Bank of Korea,7480428,B2Gold Corp.,25907510
PT Indofood Sukses Makmur Tbk,156173645,Industrial Bank Of Korea,7390454
"Hyundai Heavy Industries Holdings Co., Ltd.",285049,"Foxconn Technology Co., Ltd.",39676329
"Kakaku.com, Inc.",3669657,CA Immobilien Anlagen AG,2316815
Centrais Elétricas Brasileiras S.A. - Eletrobrás,7255428,SUMCO Corporation,6142128
TP ICAP Plc,20775424,"NETGEAR, Inc.",3236695
Granite REIT,1765635,Venture Corporation Limited,7201946
MAPFRE SA,30146425,Cooper-Standard Holdings Inc.,1784622
Zumiez Inc.,2579085,"GlobalWafers Co., Ltd.",7552676
Greek Organization of Football Prognostics S.A.,7870107,Credicorp Ltd.,356622
Fuchs Petrolub SE,2177777,"Fossil Group, Inc.",7096539
Atlassian Corporation Plc,681620,JSR Corp.,4898341
"Interface, Inc.",6302283,Choice Properties Real Estate Investment Trust,7834026
"Coeur Mining, Inc.",16723547,JD Sports Fashion Plc,10250586
Thai Oil Public Company Limited,36278222,Interconexion Electrica SA ESP,15072489
Lotte Chemical Corporation,404833,Crown Resorts Limited,9955164
"Foxconn Technology Co., Ltd.",40084198,Lundin Mining Corporation,16810021
Kuala Lumpur Kepong Berhad,14695889,Saudi Arabian Fertilizer Co.,3473675
Kurita Water Industries Ltd.,3037192,"CorePoint Lodging, Inc.",6570097
Natus Medical Incorporated,2792536,Fuchs Petrolub SE Pref,2089368
Career Education Corporation,4296000,Etablissementen Franz Colruyt N.V.,1525985
Upwork Inc.,5544244,"Caleres, Inc.",4075071
Azrieli Group Limited,1176194,Yangzijiang Shipbuilding (Holdings) Ltd.,77590975
CIFI Holdings (Group) Co. Ltd.,142563126,Pidilite Industries Limited,4493547
"Mitsui O.S.K. Lines, Ltd.",3073614,Unisys Corporation,8336850
Ecopetrol S.A.,96132393,Pargesa Holding SA,1073103
Hindustan Petroleum Corporation Limited,22400839,Amplifon S.p.A.,3264532
"Innovent Biologics, Inc.",27015000,State Bank of India Sponsored GDR RegS,1669598
Evotec SE,3670218,Sumitomo Dainippon Pharma Co. Ltd.,4366057
COMSYS Holdings Corporation,3058035,Primoris Services Corporation,3854537
China Resources Cement Holdings Limited,79562608,TLG Immobilien AG,2728170
The Descartes Systems Group Inc,2075740,Simply Good Foods Co,3347557
Victrex plc,2995002,Tupperware Brands Corporation,4235457
"Esperion Therapeutics, Inc.",2247286,AVX Corporation,4855050
"MonotaRO Co., Ltd.",3314572,Havells India Limited,8574932
BTS Group Holdings Public Company Limited,191405712,Inventec Corporation,107387279
Bombardier Inc.,57034621,Agility Public Warehousing Co. K.S.C.,30533222
Kingdee International Software Group Company Limited,79817109,"US Ecology, Inc.",1350700
PAO Severstal,5243564,"Giant Manufacturing Co., Ltd.",10481433
DP World PLC,5766440,Saab AB Class B,2527246
Front Yard Residential Corporation,7127554,ZTE Corporation Class H,26521519
InterGlobe Aviation Limited,3388392,Denbury Resources Inc.,64742511
"Dillard's, Inc.",1181101,Yes Bank Limited,60468570
Getinge AB,6024551,"Shutterstock, Inc.",2044987
Grand City Properties S.A.,3792486,HIWIN Technologies Corp.,9164592
CTS Eventim AG & Co. KGaA,1536584,Thai Oil Public Co. Ltd.(Alien Mkt),35900022
IHI Corporation,3611862,Ambuja Cements Limited,27290421
"Samsung Heavy Industries Co., Ltd.",11914087,ProSiebenSat.1 Media SE,6126201
Surgutneftegas Public Joint Stock Company,146198516,Weibo Corp Sponsored ADR Class A,1834488
"Innoviva, Inc.",7110733,TiVo Corp.,10831298
Kforce Inc.,2439206,Life Healthcare Group Holdings Limited,49738987
Retail Value Inc.,2221549,Acushnet Holdings Corp.,3026359
"Huaneng Power International, Inc.",147539418,Third Point Reinsurance Ltd.,7699007
"Casino, Guichard-Perrachon Société Anonyme",1623994,"J. FRONT RETAILING Co., Ltd.",6713200
Aozora Bank Ltd.,3251670,Fila Korea Ltd,1389500
"Inogen, Inc.",1702226,Britannia Industries Ltd,2090773
Grainger Plc,26693712,Hays plc,41912000
Genus plc,2294089,Azrieli Group Ltd.,1118737
Methanex Corporation,2245124,"Fukuoka Financial Group, Inc.",4288348
GrafTech International Ltd.,5969556,Fresh Del Monte Produce Inc.,2930377
"Stitch Fix, Inc.",3730987,"Guangzhou R&F Properties Co., Ltd. Class H",43207852
Credicorp Ltd.,380391,Career Education Corporation,4135341
Great Wall Motor Company Limited,115301800,Accton Technology Corp.,18287903
"Sumitomo Dainippon Pharma Co., Ltd.",4625275,Mapfre SA,28363889
China Oilfield Services Limited,67084692,Hammerson plc,28477949
"Switch, Inc.",5036875,California Resources Corp,3998189
"Tootsie Roll Industries, Inc.",2150471,Mizrahi Tefahot Bank Ltd,3251073
Metro AG,4988936,"Gibraltar Industries, Inc.",1944410
Primoris Services Corporation,3943330,L E Lundbergforetagen AB Class B,2097631
E. W. Scripps Company,5678061,"GMO Payment Gateway, Inc.",1067979
Swedish Orphan Biovitrum AB (publ),4867974,Lotte Chemical Corp.,397702
Dr. Reddy's Laboratories Limited,2072900,WH Smith PLC,3284861
Ambu A/S,4595666,BTS Group Holdings Public Co. Ltd.(Alien Mkt),189427769
PT Gudang Garam Tbk,16524057,Appian Corporation Class A,2166545
Parex Resources Inc.,5086984,AVEVA Group plc,1733742
Storebrand ASA,12724540,Oritani Financial Corp.,4401689
BCA Marketplace plc,26960311,ENGIE Brasil Energia S.A.,6085124
"EVO Payments, Inc.",2830161,"Nomura Real Estate Holdings, Inc.",3821804
Skyline Champion Corporation,2633490,"Great Wall Motor Co., Ltd. Class H",113752300
Hiwin Technologies Corp.,9081245,"WisdomTree Investments, Inc.",12640527
CIMIC Group Limited,3649862,ePlus inc.,1130509
CA Immobilien Anlagen AG,2380525,"Tootsie Roll Industries, Inc.",2109987
"G1 Therapeutics, Inc.",1976615,Cineworld Group plc,29289965
"Perficient, Inc.",2110141,Fletcher Building Limited,23749192
"Sturm, Ruger & Company, Inc.",1785151,"True Corp. Public Co., Ltd.(Alien Mkt)",376374530
New Senior Investment Group Inc.,12518641,"Kangwon Land, Inc.",2988383
Ashmore Group Plc,13840157,PT Indofood Sukses Makmur Tbk,153692045
Oritani Financial Corp.,4439306,Taiyo Nippon Sanso Corporation,3756150
Elia System Operator SA,992674,"Hyundai Heavy Industries Holdings Co., Ltd.",281248
PT Kalbe Farma Tbk.,661855839,"Virtus Investment Partners, Inc.",721307
Mitsubishi Motors Corporation,17346366,Aurobindo Pharma Ltd,9317786
"Kelly Services, Inc.",3244266,Vanguard Global ex-U.S. Aggregate Bond Index ETF (CAD-hedged),3823041
"CIRCOR International, Inc.",2131304,Challenger Limited,15829629
Avenue Supermarts Limited,3600599,Capstead Mortgage Corporation,9257344
"AMERISAFE, Inc.",1179923,Seacoast Banking Corporation of Florida,3037278
Amplifon SpA,3266805,Colliers International Group Inc.,1066939
"Square Enix Holdings Co., Ltd.",2025967,"Kingdee International Software Group Co., Ltd.",79802109
Mizrahi Tefahot Bank Ltd.,3362229,Haseko Corporation,7055919
"Banco Santander México, SA, Institución de Banca Múltiple",60799339,Cosan S.A.,5698075
Shree Cement Limited,302922,"ADTRAN, Inc.",5045601
ZTE Corporation,26906359,"Madrigal Pharmaceuticals, Inc.",734016
"Centennial Resource Development, Inc.",17223220,Cia de Saneamento do Parana SA - Sanepar Units Cons of 1 Sh + 4 Pfd Shs,3379528
Richter Gedeon Vegyészeti Gyár Nyilvánosan Muködo Rt.,4940020,"Astec Industries, Inc.",2360542
Azul S.A.,6500003,CTS Eventim AG & Co. KGaA,1525644
"Zhuzhou CRRC Times Electric Co., Ltd.",18145048,Granite Real Estate Investment Trust Stapled Units - 1 Granite RE Inc + 1 TU Granite REIT,1681840
Cleanaway Waste Management Limited,55753366,Cembra Money Bank AG,791172
Cembra Money Bank AG,796285,Isetan Mitsukoshi Holdings Ltd.,9583228
Tecan Group Ltd.,326893,"Alder Biopharmaceuticals, Inc.",6505403
Third Point Reinsurance Ltd.,7778540,Finning International Inc.,4415002
Seacoast Banking Corporation of Florida,3096058,AIB Group PLC,22142416
Antero Resources Corporation,20333147,Banco BPM SpA,40667863
China International Capital Corporation Ltd.,38219777,Hecla Mining Company,42433455
JGC Corporation,5926327,"Hisamitsu Pharmaceutical Co., Inc.",1882408
Saudi Arabian Mining Company,6774492,Agile Group Holdings Limited,58715675
Japan Post Insurance Co. Ltd.,5119978,Kerry Properties Limited,20185032
Britannia Industries Limited,2077918,"THK Co., Ltd.",2987771
Infraestructura Energetica Nova S.A.B. de C.V.,18430019,Dr. Reddy's Laboratories Ltd.,2037281
Schibsted ASA,2750996,"Retail Value, Inc.",2189723
Infinera Corporation,14245042,TIM Participacoes S.A.,23437380
"Bank of Kyoto, Ltd.",1977515,"China Merchants Port Holdings Co., Ltd.",45760433
Saab AB (publ),2541990,Nestle (Malaysia) Bhd.,2110327
Saipem S.p.A.,15659983,Downer EDI Limited,15269766
Finning International Inc.,4349625,Jollibee Foods Corp.,14927990
"Liberty TripAdvisor Holdings, Inc.",7567081,Tingyi (Cayman Islands) Holding Corp.,50631415
A2A S.p.A.,43600730,Signify NV,2776940
Cencosud S.A.,47995014,YDUQS Participacoes S.A.,8317516
Kiwi Property Group Limited,72948236,Cielo,39394617
Abacus Property Group,28986784,LivaNova Plc,1053283
National Express Group PLC,14966478,GMS Inc.,3441566
Eurobank Ergasias SA,86676088,Moscow Exchange MICEX-RTS PJSC,51535958
Independence Group NL,17533405,Barwa Real Estate Co.,77189698
Isetan Mitsukoshi Holdings Ltd.,9965876,PT Indocement Tunggal Prakarsa Tbk,47197556
"Arca Continental, S.A.B. de C.V.",14105512,"Weight Watchers International, Inc.",3961830
"Giant Manufacturing Co., Ltd.",10694899,Centrais Eletricas Brasileiras SA-Eletrobras Pfd B,7186128
Shriram Transport Finance Company Limited,5284291,InterGlobe Aviation Ltd,3337975
"Hertz Global Holdings, Inc.",5374471,Saipem S.p.A.,15112306
"Atlas Air Worldwide Holdings, Inc.",2617891,Great Portland Estates plc,9307421
MBIA Inc.,7790864,Shandong Weigao Group Medical Polymer Co. Ltd. Class H,78331427
"PJSC ""Moscow Exchange MICEX-RTS""",52113321,easyJet plc,6374000
"Shutterstock, Inc.",2087878,Aimmune Therapeutics Inc,3613278
Mitsubishi Tanabe Pharma Corporation,6702399,Descartes Systems Group Inc.,2031785
"Madrigal Pharmaceuticals, Inc.",750826,Elia System Operator SA,980794
SemGroup Corporation,7902048,"Contura Energy, Inc.",1445729
Oracle Corporation Japan,914017,Arca Continental SAB de CV,13953027
Japan Real Estate Investment Corporation,11806,BELIMO Holding AG,12643
Tech Mahindra Limited,7740723,Dometic Group AB,8127210
Grupo de Inversiones Suramericana S.A.,7620681,COMSYS Holdings Corporation,2944751
"Gray Television, Inc.",4369435,RHB Bank Bhd.,56141319
John Laing Group plc,17483246,Wistron Corporation,99821390
Alibaba Pictures Group Limited,463587292,China Oilfield Services Limited Class H,65748692
Mapletree Industrial Trust,45933663,JGC Corp.,5693274
Chorus Limited,23418083,Kurita Water Industries Ltd.,2930712
Air Water Inc.,4263492,Qatar Electricity & Water Co.,17374908
"China Galaxy Securities Co., Ltd.",133401086,United States Cellular Corp,1667265
"Tricida, Inc.",2246304,"Bank of Kyoto, Ltd.",1909287
ATCO Limited,2141249,"Veritex Holdings, Inc.",2869481
Pirelli & C. S.p.A.,12564010,"Tokyo Tatemono Co., Ltd.",6329990
Cosan S.A.,5779994,Evolution Gaming Group AB,3379046
Indorama Ventures Public Company Limited,62770971,SNC-Lavalin Group Inc.,4584068
"Hyundai Engineering & Construction Co., Ltd.",1998421,METRO AG,4753285
Tsingtao Brewery Company Limited,12147027,A2A S.p.A.,42125320
Inventec Corporation,107710014,Wipro Limited Sponsored ADR,17103768
Zijin Mining Group Company Limited,210037746,NWS Holdings Limited,39658670
